commodity,year,stock_date,stock_month,reference_period_desc,agg_level,state_alpha,state_name,stocks_bu,stocks_mbu,load_time
CORN,2016,2016-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2019-02-06 15:00:06
CORN,2017,2017-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2019-02-06 15:00:06
CORN,2017,2017-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2019-02-06 15:00:06
CORN,2018,2018-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2019-02-06 15:00:06
CORN,2018,2018-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2019-02-06 15:00:06
CORN,2018,2018-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2019-02-06 15:00:06
CORN,2018,2018-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2019,2019-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2019,2019-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2019,2019-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2019,2019-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2020,2020-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2020,2020-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2020,2020-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2020,2020-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2021,2021-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2021,2021-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2021,2021-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2021,2021-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2022,2022-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2022,2022-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2022,2022-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2022,2022-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2023,2023-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2023,2023-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2023,2023-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2024-01-09 15:00:00
CORN,2023,2023-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2025-01-10 12:00:00
CORN,2024,2024-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2025-01-10 12:00:00
CORN,2024,2024-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2025-01-10 12:00:00
CORN,2024,2024-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2025-01-10 12:00:00
CORN,2024,2024-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2026-01-12 12:00:00
CORN,2025,2025-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2026-01-12 12:00:00
CORN,2025,2025-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,2026-01-12 12:00:00
CORN,2025,2025-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,2026-01-12 12:00:00
CORN,2025,2025-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,2026-03-31 12:00:00
CORN,2026,2026-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,2026-03-31 12:00:00
CORN,2015,2015-03-01,3,FIRST OF MAR,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2015,2015-06-01,6,FIRST OF JUN,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2015,2015-09-01,9,FIRST OF SEP,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2015,2015-12-01,12,FIRST OF DEC,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2016,2016-03-01,3,FIRST OF MAR,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2016,2016-06-01,6,FIRST OF JUN,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2016,2016-09-01,9,FIRST OF SEP,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2016,2016-12-01,12,FIRST OF DEC,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,STATE,CA,CALIFORNIA,,,2019-02-06 15:00:06
