source_file,report_month,commodity,marketing_year,estimate_type,vintage,column_order,metric,metric_key,unit,value
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Crushings,crushings,Million Bushels,2445.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Ending Stocks,ending_stocks,Million Bushels,325.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Exports,exports,Million Bushels,1882.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Imports,imports,Million Bushels,29.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Production,production,Million Bushels,4374.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Residual,residual,Million Bushels,23.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Seed,seed,Million Bushels,70.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,"Supply, Total",supply_total,Million Bushels,4746.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,"Use, Total",use_total,Million Bushels,4421.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2024/25,reported,current,1,Yield per Harvested Acre,yield_per_harvested_acre,Bushels,50.7
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Area Harvested,area_harvested,Million Acres,80.4
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Area Planted,area_planted,Million Acres,81.2
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Avg.FarmPrice ($/bu),avg_farmprice_bu,$/bu,10.4
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Beginning Stocks,beginning_stocks,Million Bushels,325.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Crushings,crushings,Million Bushels,2650.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Ending Stocks,ending_stocks,Million Bushels,340.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Exports,exports,Million Bushels,1510.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Imports,imports,Million Bushels,25.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Production,production,Million Bushels,4262.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Residual,residual,Million Bushels,39.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Seed,seed,Million Bushels,73.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,"Supply, Total",supply_total,Million Bushels,4612.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,"Use, Total",use_total,Million Bushels,4272.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2025/26,estimate,current,2,Yield per Harvested Acre,yield_per_harvested_acre,Bushels,53.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Area Harvested,area_harvested,Million Acres,83.7
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Area Planted,area_planted,Million Acres,84.7
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Avg.FarmPrice ($/bu),avg_farmprice_bu,$/bu,11.4
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Beginning Stocks,beginning_stocks,Million Bushels,340.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Crushings,crushings,Million Bushels,2750.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Ending Stocks,ending_stocks,Million Bushels,310.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Exports,exports,Million Bushels,1630.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Imports,imports,Million Bushels,25.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Production,production,Million Bushels,4435.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Residual,residual,Million Bushels,38.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Seed,seed,Million Bushels,72.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,"Supply, Total",supply_total,Million Bushels,4800.0
