commodity_desc,statisticcat_desc,unit_desc,short_desc,prodn_practice_desc,util_practice_desc,agg_level_desc,state_alpha,state_name,year,freq_desc,begin_code,end_code,reference_period_desc,Value,value_num,load_time
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2021,MONTHLY,12,12,DEC,"5,947,222",5947222.0,2022-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,01,01,JAN,"5,663,403",5663403.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,02,02,FEB,"5,258,777",5258777.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,03,03,MAR,"5,764,867",5764867.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,04,04,APR,"5,501,825",5501825.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,05,05,MAY,"5,386,534",5386534.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,06,06,JUN,"5,318,419",5318419.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,07,07,JUL,"5,535,196",5535196.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,08,08,AUG,"5,240,230",5240230.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,09,09,SEP,"5,131,665",5131665.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,10,10,OCT,"5,897,079",5897079.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,11,11,NOV,"5,731,207",5731207.0,2021-03-01 15:00:12
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2020,MONTHLY,12,12,DEC,"5,794,233",5794233.0,2021-03-01 15:00:12
