commodity,year,stock_date,stock_month,reference_period_desc,agg_level,state_alpha,state_name,stocks_bu,stocks_mbu,on_farm_stocks_bu,on_farm_stocks_mbu,off_farm_stocks_bu,off_farm_stocks_mbu,on_farm_share_pct,off_farm_share_pct,load_time
CORN,2017,2017-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,2048000.0,2.048,,,2019-02-06 15:00:06
CORN,2017,2017-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,27195000.0,27.195,,,2019-02-06 15:00:06
CORN,2018,2018-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,14769000.0,14.769,,,2019-02-06 15:00:06
CORN,2018,2018-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,4170000.0,4.17,,,2019-02-06 15:00:06
CORN,2018,2018-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,951000.0,0.951,,,2019-02-06 15:00:06
CORN,2018,2018-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,23421000.0,23.421,,,2024-01-09 15:00:00
CORN,2019,2019-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,22439000.0,22.439,,,2024-01-09 15:00:00
CORN,2019,2019-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,14222000.0,14.222,,,2024-01-09 15:00:00
CORN,2019,2019-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,2052000.0,2.052,,,2024-01-09 15:00:00
CORN,2019,2019-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,33377000.0,33.377,,,2024-01-09 15:00:00
CORN,2020,2020-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,25227000.0,25.227,,,2024-01-09 15:00:00
CORN,2020,2020-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,12880000.0,12.88,,,2024-01-09 15:00:00
CORN,2020,2020-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,1214000.0,1.214,,,2024-01-09 15:00:00
CORN,2020,2020-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,20836000.0,20.836,,,2024-01-09 15:00:00
CORN,2021,2021-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,15031000.0,15.031,,,2024-01-09 15:00:00
CORN,2021,2021-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,7247000.0,7.247,,,2024-01-09 15:00:00
CORN,2021,2021-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,3204000.0,3.204,,,2024-01-09 15:00:00
CORN,2021,2021-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,17693000.0,17.693,,,2024-01-09 15:00:00
CORN,2022,2022-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,15124000.0,15.124,,,2024-01-09 15:00:00
CORN,2022,2022-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,5329000.0,5.329,,,2024-01-09 15:00:00
CORN,2022,2022-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,1432000.0,1.432,,,2024-01-09 15:00:00
CORN,2022,2022-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,12750000.0,12.75,,,2024-01-09 15:00:00
CORN,2023,2023-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,11400000.0,11.4,,,2024-01-09 15:00:00
CORN,2023,2023-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,6365000.0,6.365,,,2024-01-09 15:00:00
CORN,2023,2023-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,3844000.0,3.844,,,2024-01-09 15:00:00
CORN,2023,2023-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,18763000.0,18.763,,,2025-01-10 12:00:00
CORN,2024,2024-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,14053000.0,14.053,,,2025-01-10 12:00:00
CORN,2024,2024-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,8249000.0,8.249,,,2025-01-10 12:00:00
CORN,2024,2024-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,2709000.0,2.709,,,2025-01-10 12:00:00
CORN,2024,2024-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,11351000.0,11.351,,,2026-01-12 12:00:00
CORN,2025,2025-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,10140000.0,10.14,,,2026-01-12 12:00:00
CORN,2025,2025-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,4737000.0,4.737,,,2026-01-12 12:00:00
CORN,2025,2025-09-01,9,FIRST OF SEP,STATE,AR,ARKANSAS,,,,,2072000.0,2.072,,,2026-01-12 12:00:00
CORN,2025,2025-12-01,12,FIRST OF DEC,STATE,AR,ARKANSAS,,,,,17643000.0,17.643,,,2026-03-31 12:00:00
CORN,2026,2026-03-01,3,FIRST OF MAR,STATE,AR,ARKANSAS,,,,,12419000.0,12.419,,,2026-06-30 12:00:00
CORN,2026,2026-06-01,6,FIRST OF JUN,STATE,AR,ARKANSAS,,,,,7992000.0,7.992,,,2026-06-30 12:00:00
